"","date","non-vaccines","n-type","n-type_desc","JNJ_n_event","SASY_n_event","MRNA_n_event","AZN_n_event","NVAX_n_event","PFE_n_event","GSK_n_event","BNTX_n_event","cancer","cancer_present","approval_ne","approval_ne_present","expansion","expansion_present","merger","merger_present","equity","equity_present","market_authorization","market_authorization_present","EMA","EMA_present"
0,"2019-10-14","U.S. FDA Approves XARELTO (Rivaroxaban) To Help Prevent Blood Clots In Acutely Ill Medical Patients; ImaginAb Signs Multi-Party Collaboration Agreement With 3 Global Pharmaceutical Cos","Products; Products, Strategic Combinations","Oct 14 (Reuters) - Johnson & Johnson ::U.S. FDA APPROVES XARELTO® (RIVAROXABAN) TO HELP PREVENT BLOOD CLOTS IN ACUTELY ILL MEDICAL PATIENTS.JANSSEN - FDA HAS APPROVED XARELTO TO HELP PREVENT BLOOD CLOTS IN ACUTELY ILL MEDICAL PATIENTS.; Oct 14 (Reuters) - ImaginAb::IMAGINAB SIGNS MULTI-PARTY COLLABORATION AGREEMENT WITH 3 GLOBAL PHARMACEUTICAL COS TO HELP FURTHER DEVELOP CO'S CD8 IMMUNOPET TECHNOLOGY.ANNOUNCED SIGNING OF MULTI-PARTY AGREEMENT WITH ASTRAZENECA, PFIZER, TAKEDA PHARMACEUTICAL.COLLABORATORS TO HELP GUIDE IMAGINAB-SPONSORED CLINICAL TRIAL AIMING TO EVALUATE UTILITY, VALUE OF CD8 IMMUNOPET IN IMMUNO-ONCOLOGY DRUG DEVELOPMENT.COLLABORATORS WILL GAIN EARLY ACCESS TO CLINICAL & IMAGING DATA & COLLECTIVELY CONTRIBUTE TO POST-TRIAL DATA ANALYSIS.",1,0,0,1,0,0,0,0,"",0,"",0,"",0,"",0,"",0,"",0,"",0
1,"2019-10-18","Johnson & Johnson Consumer Inc To Voluntarily Recall Single Lot Of Johnson's Baby Powder In U.S.; Sanofi To Conduct Precautionary Voluntary Recall Of Zantac OTC In U.S.,Canada","Products; Products, Regulatory","Oct 18 (Reuters) - Johnson & Johnson Consumer Inc::JOHNSON & JOHNSON CONSUMER INC. TO VOLUNTARILY RECALL A SINGLE LOT OF JOHNSON'S BABY POWDER IN THE UNITED STATES.SAYS RECALL LIMITED TO ONE LOT OF BOTTLES PRODUCED AND SHIPPED IN U.S. IN 2018.SAYS JJCI IS INITIATING VOLUNTARY RECALL OF LOT #22318RB OF JOHNSON'S BABY POWDER, FROM WHICH TESTED SAMPLE WAS TAKEN.SAYS RECALL IN RESPONSE TO FDA TEST INDICATING PRESENCE OF SUB-TRACE LEVELS OF CHRYSOTILE ASBESTOS CONTAMINATION IN SAMPLES FROM SINGLE BOTTLE BOUGHT FROM ONLINE RETAILER.SAYS AT THIS EARLY STAGE OF INVESTIGATION, JJCI CANNOT CONFIRM IF CROSS-CONTAMINATION OF SAMPLE CAUSED A FALSE POSITIVE.SAYS CANNOT CONFIRM IF SAMPLE WAS TAKEN FROM A BOTTLE WITH INTACT SEAL OR WHETHER SAMPLE WAS PREPARED IN CONTROLLED ENVIRONMENT.SAYS CANNOT CONFIRM WHETHER TESTED PRODUCT IS AUTHENTIC OR COUNTERFEIT.SAYS INITIATED INVESTIGATION INTO MATTER WHERE FDA'S TEST INDICATED PRESENCE OF SUB-TRACE LEVELS OF CHRYSOTILE ASBESTOS CONTAMINATION IN SAMPLES OF A BABY POWDER BOTTLE.SAYS JJCI IS WORKING WITH FDA TO DETERMINE INTEGRITY OF TESTED SAMPLE, VALIDITY OF TEST RESULTS.; Oct 18 (Reuters) - Sanofi SA ::SANOFI TO CONDUCT PRECAUTIONARY VOLUNTARY RECALL OF ZANTAC OTC IN U.S.AND CANADA.SANOFI SAYS RECALL IS BEING TAKEN DUE TO POSSIBLE CONTAMINATION WITH NITROSAMINE IMPURITY CALLED N-NITROSODIMETHYLAMINE.SANOFI - DUE TO INCONSISTENCIES IN PRELIMINARY RESULTS OF ACTIVE INGREDIENT USED IN ZANTAC OTC PRODUCTS, CO DECIDED TO CONDUCT VOLUNTARY RECALL.SANOFI SAYS ACTIVE INGREDIENTS USED IN SANOFI’S RANITIDINE PRODUCTS OUTSIDE OF U.S. & CANADA ARE SOURCED FROM DIFFERENT SUPPLIERS.",1,1,0,0,0,0,0,0,"",0,"",0,"",0,"",0,"",0,"",0,"",0
2,"2019-12-20","Johnson & Johnson Agrees To Acquire Remaining Stake In Verb Surgical; Johnson & Johnson Acquires Taris Biomedical With Focus On Transforming The Treatment Of Bladder Cancer; AstraZeneca Divests Rights To Arimidex And Casodex In Europe And Certain Additional Countries; Juvisé buys two oncology products from AstraZeneca in over 40 countries","Regulatory; Mergers / Acquisitions; Divestitures / Spin-offs, Other Pre-Announcement; Mergers / Acquisitions","Dec 20 (Reuters) - Johnson & Johnson ::JOHNSON & JOHNSON ANNOUNCES AGREEMENT TO ACQUIRE REMAINING STAKE IN VERB SURGICAL INC..J&J - FINANCIAL TERMS OF TRANSACTION ARE NOT BEING DISCLOSED..J&J - ANNOUNCED AN AGREEMENT TO ACQUIRE REMAINING STAKE IN VERB SURGICAL INC FOLLOWING SUCCESSFUL STRATEGIC COLLABORATION WITH VERILY.; Dec 20 (Reuters) - Johnson & Johnson ::JOHNSON & JOHNSON ACQUIRES TARIS BIOMEDICAL WITH FOCUS ON TRANSFORMING THE TREATMENT OF BLADDER CANCER.J&J - FINANCIAL TERMS OF TRANSACTION ARE NOT BEING DISCLOSED.J&J - TARIS WILL BECOME PART OF JANSSEN RESEARCH AND DEVELOPMENT'S ONCOLOGY THERAPEUTIC AREA.; Dec 20 (Reuters) - AstraZeneca PLC ::ASTRAZENECA PLC - ASTRAZENECA DIVESTS RIGHTS TO ARIMIDEX AND CASODEX.ASTRAZENECA PLC - ASTRAZENECA DIVESTS RIGHTS TO ARIMIDEX AND CASODEX IN EUROPE AND CERTAIN ADDITIONAL COUNTRIES.ASTRAZENECA PLC - JUVISÉ PHARMACEUTICALS HAS MADE AN UPFRONT PAYMENT OF $181M TO ASTRAZENECA.ASTRAZENECA PLC - DIVESTMENT DOES NOT CHANGE COMPANY'S FINANCIAL GUIDANCE FOR 2019..; Dec 20 (Reuters) - AstraZeneca PLC /Juvise::* Juvisé Pharmaceuticals is pleased to announce the successful completion of a transaction with AstraZeneca, regarding the acquisition of the commercial rights of Arimidex® (anastrozole) and Casodex® (bicalutamide) in a number of European, African and other countries..",1,0,0,1,0,0,0,0,"Johnson & Johnson Agrees To Acquire Remaining Stake In Verb Surgical; Johnson & Johnson Acquires Taris Biomedical With Focus On Transforming The Treatment Of Bladder Cancer; AstraZeneca Divests Rights To Arimidex And Casodex In Europe And Certain Additional Countries; Juvisé buys two oncology products from AstraZeneca in over 40 countries",1,"",0,"",0,"Johnson & Johnson Agrees To Acquire Remaining Stake In Verb Surgical; Johnson & Johnson Acquires Taris Biomedical With Focus On Transforming The Treatment Of Bladder Cancer; AstraZeneca Divests Rights To Arimidex And Casodex In Europe And Certain Additional Countries; Juvisé buys two oncology products from AstraZeneca in over 40 countries",1,"",0,"",0,"Johnson & Johnson Agrees To Acquire Remaining Stake In Verb Surgical; Johnson & Johnson Acquires Taris Biomedical With Focus On Transforming The Treatment Of Bladder Cancer; AstraZeneca Divests Rights To Arimidex And Casodex In Europe And Certain Additional Countries; Juvisé buys two oncology products from AstraZeneca in over 40 countries",1
3,"2020-01-06","AngioSoma Developing Full Salute, A Male Erectile Dysfunction Product (Biosimilar To Cialis And Viagra); Bavencio Significantly Improved Overall Survival In Patients With Locally Advanced Or Metastatic Urothelial Carcinoma; Astrazeneca Says Lokelma Approved In China For Hyperkalaemia; Astrazeneca Says Farxiga Granted FDA Heart Failure Priority Review","Products; Regulatory; Regulatory; Products","Jan 6 (Reuters) - AngioSoma Inc ::ANGIOSOMA INC - ANNOUNCED DEVELOPMENT OF FULL SALUTE, A MALE ERECTILE DYSFUNCTION PRODUCT.ANGIOSOMA - FULL SALUTE PRODUCT CONTAINS E. BREVICORNUM EXTRACT, AN ALL-NATURAL PHOSPHORODIESTERASE-5 INHIBITOR (BIOSIMILAR TO CIALIS AND VIAGRA).; Jan 6 (Reuters) - Pfizer Inc ::BAVENCIO SIGNIFICANTLY IMPROVED OVERALL SURVIVAL IN PATIENTS WITH LOCALLY ADVANCED OR METASTATIC UROTHELIAL CARCINOMA.EMD SERONO - AT PLANNED INTERIM ANALYSIS, PHASE III JAVELIN BLADDER 100 STUDY MET PRIMARY ENDPOINT.EMD SERONO - SAFETY PROFILE FOR BAVENCIO IN TRIAL WAS CONSISTENT WITH THAT IN JAVELIN MONOTHERAPY CLINICAL DEVELOPMENT PROGRAM.; Jan 6 (Reuters) - AstraZeneca PLC ::ASTRAZENECA PLC - LOKELMA APPROVED IN CHINA FOR HYPERKALAEMIA.ASTRAZENECA PLC - LOKELMA HAS BEEN APPROVED IN CHINA FOR TREATMENT OF ADULT PATIENTS WITH HYPERKALAEMIA.; Jan 6 (Reuters) - AstraZeneca PLC ::ASTRAZENECA PLC - FARXIGA GRANTED FDA HEART FAILURE PRIORITY REVIEW.ASTRAZENECA PLC - PRESCRIPTION DRUG USER FEE ACT DATE, FDA ACTION DATE FOR SUPPLEMENTAL APPLICATION, IS SCHEDULED FOR Q2 OF 2020.",0,0,0,1,0,1,0,0,"",0,"",0,"",0,"",0,"",0,"",0,"",0
4,"2020-03-06","Astrazeneca Says Phase III Danube Trial In Unresectable, Stage IV Bladder Cancer Did Not Meet Primary Endpoints","Regulatory","March 6 (Reuters) - AstraZeneca PLC ::ASTRAZENECA PLC - UPDATE ON PHASE III DANUBE TRIAL IN BLADDER CANCER.PHASE III DANUBE TRIAL FOR IMFINZI AND IMFINZI PLUS TREMELIMUMAB IN UNRESECTABLE, STAGE IV BLADDER CANCER DID NOT MEET PRIMARY ENDPOINTS.SAFETY AND TOLERABILITY PROFILES FOR IMFINZI AND COMBINATION WITH TREMELIMUMAB WERE CONSISTENT WITH PREVIOUS TRIALS.SAFETY AND TOLERABILITY PROFILES FOR IMFINZI AND COMBINATION WITH TREMELIMUMAB WERE CONSISTENT WITH PREVIOUS TRIALS.",0,0,0,1,0,0,0,0,"Astrazeneca Says Phase III Danube Trial In Unresectable, Stage IV Bladder Cancer Did Not Meet Primary Endpoints",1,"",0,"",0,"",0,"",0,"",0,"",0
5,"2020-03-16","Sanofi, Regeneron Begin Global Kevzara Clinical Trial Program In Patients With Severe Covid-19; Moderna Announces First Participant Dosed In Nih-Led Phase 1 Study Of Mrna Vaccine Against Novel Coronavirus","Strategic Combinations; Products","March 16 (Reuters) - :REGENERON - CO IS LEADING KEVZARA U.S. TRIALS, SANOFI WILL LEAD UPCOMING EX-U.S. TRIALS.SANOFI AND REGENERON BEGIN GLOBAL KEVZARA (SARILUMAB) CLINICAL TRIAL PROGRAM IN PATIENTS WITH SEVERE COVID-19.REGENERON - U.S. PHASE 2/3 KEVZARA TRIAL INITIATED AND WILL BEGIN ENROLLING PATIENTS IMMEDIATELY.; March 16 (Reuters) - Moderna Inc ::MODERNA ANNOUNCES FIRST PARTICIPANT DOSED IN NIH-LED PHASE 1 STUDY OF MRNA VACCINE (MRNA-1273) AGAINST NOVEL CORONAVIRUS.MODERNA - PREPARING FOR POTENTIAL PHASE 2 STUDY UNDER ITS OWN IND TO BUILD ON DATA FROM ONGOING PHASE 1 STUDY OF VACCINE AGAINST NOVEL CORONAVIRUS.MODERNA INC - MANUFACTURE OF MRNA-1273 MATERIAL FOR POTENTIAL PHASE 2 TRIAL, WHICH COULD BEGIN IN A FEW MONTHS, IS UNDERWAY.",0,1,1,0,0,0,0,0,"",0,"",0,"",0,"",0,"",0,"",0,"",0
6,"2020-03-24","J&J CFO Warns Coronavirus Uncertainty To Make Guidance '100% Precisely Wrong'- WSJ; FDA Posts Alerts About Epipen Auto-Injector Errors; Novavax’ Nanoflu Achieves All Primary Endpoints In Phase 3 Clinical Trial","Other Pre-Announcement, Community; Products; Products, Regulatory","March 23 (Reuters) - :JOHNSON & JOHNSON CFO JOSEPH WOLK WARNS CORONAVIRUS UNCERTAINTY TO MAKE GUIDANCE '100% PRECISELY WRONG'- WSJ.; March 24 (Reuters) - Food and Drug Administration::FDA - ALERTS PATIENTS AND HEALTH CARE PROFESSIONALS OF EPIPEN AUTO-INJECTOR ERRORS RELATED TO DEVICE MALFUNCTIONS AND USER ADMINISTRATION.FDA - PFIZER AND MYLAN IN A LETTER DETAILED HOW EPIPEN DEVICES MAY ACTIVATE PREMATURELY IF BLUE SAFETY RELEASE IS REMOVED USING A SIDEWAY FORCE.U.S FDA SAYS IT IS AWARE OF ADVERSE EVENT REPORTS ASSOCIATED WITH EPIPEN PRODUCTS.FDA - LETTER FROM PFIZER ALSO DESCRIBES SPECIFIC EPIPEN USER ERRORS THAT CAN DELAY/PREVENT ADMINISTRATION OF INTENDED DOSE OF EPINEPHRINE.; March 24 (Reuters) - Novavax Inc ::NOVAVAX’ NANOFLU ACHIEVES ALL PRIMARY ENDPOINTS IN PHASE 3 CLINICAL TRIAL.NOVAVAX INC - NOVAVAX TO SUBMIT A U.S. BLA UNDER FDA'S ACCELERATED APPROVAL PATHWAY.NOVAVAX INC - TRIAL ALSO ACHIEVES STATISTICAL SIGNIFICANCE IN KEY SECONDARY ENDPOINTS.NOVAVAX INC - NANOFLU WAS WELL-TOLERATED AND HAD A SAFETY PROFILE COMPARABLE TO FLUZONE QUADRIVALENT WITH A MODEST INCREASE IN LOCAL ADVERSE EVENTS.",1,0,0,0,1,1,0,0,"",0,"",0,"",0,"",0,"",0,"",0,"",0
7,"2020-04-09","U.S. FDA Approves Braftovi (Encorafenib) In Combination With Cetuximab For The Treatment Of Brafv600e-Mutant Metastatic Colorectal Cancer After Prior Therapy; Emd Serono And Pfizer Submit Application For Bavencio For First-Line Maintenance Treatment Of Locally Advanced Or Metastatic Urothelial Carcinoma","Products; Regulatory","April 8 (Reuters) - Pfizer Inc ::U.S. FDA APPROVES BRAFTOVI® (ENCORAFENIB) IN COMBINATION WITH CETUXIMAB FOR THE TREATMENT OF BRAFV600E-MUTANT METASTATIC COLORECTAL CANCER (CRC) AFTER PRIOR THERAPY.PFIZER - MOST COMMON AR IN THOSE TREATED WITH BRAFTOVI IN COMBINATION WITH CETUXIMAB WERE NAUSEA, DIARRHEA, DERMATITIS ACNEIFORM, AMONG OTHERS.; April 9 (Reuters) - EMD Serono::EMD SERONO AND PFIZER RECEIVE US FDA BREAKTHROUGH THERAPY DESIGNATION AND SUBMIT APPLICATION FOR BAVENCIO® FOR FIRST-LINE MAINTENANCE TREATMENT OF LOCALLY ADVANCED OR METASTATIC UROTHELIAL CARCINOMA.EMD SERONO - APPLICATION IS BASED ON POSITIVE RESULTS FROM AN INTERIM ANALYSIS OF PHASE III JAVELIN BLADDER 100 TRIAL.EMD SERONO - SUPPLEMENTAL BIOLOGICS LICENSE APPLICATION IS BEING REVIEWED BY FDA UNDER ITS REAL-TIME ONCOLOGY REVIEW PILOT PROGRAM.",0,0,0,0,0,1,0,0,"U.S. FDA Approves Braftovi (Encorafenib) In Combination With Cetuximab For The Treatment Of Brafv600e-Mutant Metastatic Colorectal Cancer After Prior Therapy; Emd Serono And Pfizer Submit Application For Bavencio For First-Line Maintenance Treatment Of Locally Advanced Or Metastatic Urothelial Carcinoma",1,"",0,"",0,"",0,"",0,"",0,"",0
8,"2020-04-15","Pharmanutra Signs Deal With Pfizer For Use of Sucrosomiale Technology","Products, Strategic Combinations","April 15 (Reuters) - Pharmanutra SpA ::PFIZER CONSUMER HEALTHCARE ITALY TO USE SUCROSOMIALE TECHNOLOGY FOR NEW MULTICENTRUM MY MAG LAUNCHED BY PFIZER.",0,0,0,0,0,1,0,0,"",0,"",0,"",0,"",0,"",0,"",0,"",0
9,"2020-04-29","Glenmark Pharma Gets ANDA Tentative Approval For Dapagliflozin & Saxagliptin Tablets; Biontech And Pfizer Announce Completion Of Dosing For First Cohort Of Phase 1/2 Trial Of Covid-19 Vaccine Candidates In Germany; J&J Says At 2020 Annual Meeting, Approved Shareholder Proposal For Report On Governance Of Opioids-Related Risks; AstraZeneca Says 20-25% Of Oncology Sales Came From Infused Medicines; AstraZeneca Qtrly Core EPS $1.05, FY 2020 Financial Guidance Unchanged; Catalent Signs Agreement With Johnson & Johnson To Be U.S. Manufacturing Partner For Lead Covid-19 Vaccine Candidate; GSK Q1 Adj EPS 37.7p, 2020 Adj EPS Forecast Maintained","Regulatory; Regulatory; Earnings Announcements; Other Pre-Announcement; Other Pre-Announcement; Strategic Combinations; Debt Financing / Related, Other Pre-Announcement","April 29 (Reuters) - Glenmark Pharmaceuticals Ltd ::GETS ANDA TENTATIVE APPROVAL FOR DAPAGLIFLOZIN & SAXAGLIPTIN TABLETS, 10 MG/5 MG.; April 29 (Reuters) - BioNTech SE , Pfizer Inc ::ANNOUNCE COMPLETION OF DOSING FOR FIRST COHORT OF PHASE 1/2 TRIAL OF COVID-19 VACCINE CANDIDATES IN GERMANY.PLAN TO INITIATE TRIALS FOR BNT162 IN UNITED STATES UPON REGULATORY APPROVAL, WHICH IS EXPECTED SHORTLY.; April 29 (Reuters) - Johnson & Johnson ::J&J - AT 2020 ANNUAL MEETING, APPROVED SHAREHOLDER PROPOSAL FOR A REPORT ON GOVERNANCE OF OPIOIDS-RELATED RISKS.J&J - AT 2020 ANNUAL MEETING, SHAREHOLDERS DID NOT APPROVE SHAREHOLDER PROPOSAL FOR INDEPENDENT BOARD CHAIR.J&J - AT 2020 ANNUAL MEETING, SHAREHOLDERS ELECTED ALL 13 DIRECTOR NOMINEES NAMED IN 2020 PROXY STATEMENT TO CO'S BOARD.J&J - AT 2020 ANNUAL MEETING, SHAREHOLDERS APPROVED OF AMENDMENT TO RESTATED CERTIFICATE OF INCORPORATION TO PERMIT REMOVAL OF DIRECTORS WITHOUT CAUSE.; April 29 (Reuters) - AstraZeneca PLC ::ASTRAZENECA EXEC SAYS MORE THAN HALF OF SALES IN CANCER THERAPY TAGRISSO IN Q1 CAME FROM OUTSIDE U.S. - MEDIA CALL.ASTRAZENECA EXEC SAYS ECONOMY IN CHINA IS RESTARTING; SEES UPTICK IN PATIENT DEMAND AS NON-COVID-19 PATIENTS COME INTO HOSPITALS - MEDIA CALL.ASTRAZENECA - RESPIRATORY PRODUCTS SYMBICORT & FASENRA SAW DEMAND AS GUIDELINES SAY ASHTMA/COPD PATIENTS SHOULD STAY ON THERAPY AMID VIRUS OUTBREAK.ASTRAZENECA EXEC SEES UNWINDING OF EXCESSIVE STOCK-KEEPING MOST LIKELY OVER THE NEXT 3-6 MONTHS - MEDIA CALL.ASTRAZENECA EXEC SAYS 20-25% OF ONCOLOGY SALES IN Q1 CAME FROM INFUSED MEDICINES, BALANCE FROM ORAL; ADDS ORAL DRUGS HAD FEWER OBSTACLES IN TREATMENT.; April 29 (Reuters) - AstraZeneca PLC ::ASTRAZENECA PLC - AZN: FIRST-QUARTER 2020 RESULTS.ASTRAZENECA - FY20 CAPITAL EXPENDITURE IS EXPECTED TO BE BROADLY STABLE VERSUS PRIOR YEAR.ASTRAZENECA - QTRLY REPORTED EPS $0.59.ASTRAZENECA - EVALUATING USE OF CALQUENCE, APPROVED IN A NUMBER OF COUNTRIES FOR TREATMENT OF CHRONIC LYMPHOCYTIC LEUKAEMIA, IN PHASE II CALAVI TRIAL.ASTRAZENECA - QTRLY CORE EPS $1.05.ASTRAZENECA - DOES NOT EXPECT MATERIAL DELAYS TO ANTICIPATED DATES OF LATE-STAGE AND LIFECYCLE-MANAGEMENT NEWS FLOW IN 2020 AND 2021.ASTRAZENECA - COMPANY DID NOT SEE ANY MATERIAL DISRUPTIONS TO ITS SUPPLY CHAIN IN PERIOD.ASTRAZENECA - MANUFACTURING SITES IN CHINA RETURNED TO FULL CAPACITY WITHIN WEEKS OF DECLARED OUTBREAK, WITH LITTLE INTERVENING IMPACT ON SUPPLY.ASTRAZENECA - IMPACT OF COVID-19 ON COMPANY'S OPERATIONS IS HIGHLY UNCERTAIN.ASTRAZENECA-TAGRISSO RECEIVED REGULATORY APPROVAL IN 81 COUNTRIES, INCLUDING US, CHINA, EU & JAPAN FOR 1ST-LINE TREATMENT OF PATIENTS WITH EGFRM NSCLC.ASTRAZENECA - QTRLY TOTAL REVENUE $6,354 MILLION VERSUS $5,491 MILLION AS REPORTED A YEAR EARLIER.ASTRAZENECA - IN CURRENT ENVIRONMENT, DIRECTORS BELIEVE GROUP RETAINS SUFFICIENT LIQUIDITY TO CONTINUE TO OPERATE.ASTRAZENECA - QTRLY PRODUCT SALES $6,311 MILLION VERSUS $ 5,465 MILLION AS REPORTED A YEAR EARLIER.ASTRAZENECA - FINANCIAL GUIDANCE FOR FY 2020 IS UNCHANGED.ASTRAZENECA - VARIATIONS IN PERFORMANCE BETWEEN QUARTERS CAN BE EXPECTED TO CONTINUE..; April 29 (Reuters) - Catalent Inc ::CATALENT SIGNS AGREEMENT WITH JOHNSON & JOHNSON TO BE U.S. MANUFACTURING PARTNER FOR LEAD COVID-19 VACCINE CANDIDATE.CATALENT - COLLABORATION INCLUDES JOINT INVESTMENT & TECH TRANSFER TO PREPARE FOR RAPID SCALE-UP AND SEGREGATED CGMP COMMERCIAL MANUFACTURING CAPACITY.CATALENT INC - CATALENT TO HIRE 300 ADDITIONAL PERSONNEL TO MEET OPERATIONAL READINESS AND 24X7 MANUFACTURING SCHEDULES.; April 29 (Reuters) - GlaxoSmithKline PLC ::Q1 EPS ROSE 87 PERCENT TO 31.5 PENCE.1ST QUARTER RESULTS.GSK - 19P DIVIDEND DECLARED FOR QUARTER.GSK - 19P DIVIDEND DECLARED FOR QUARTER.GSK - QTRLY TOTAL EPS 31.5P.GSK - QTRLY SALES £9.1 BILLION +19% AER, +19% CER (PROFORMA +10% CER*).GSK - QTRLY ADJUSTED EPS 37.7P.GSK - BASED ON CURRENT ASSESSMENT OF COVID-19, GUIDANCE FOR 2020 ADJUSTED EPS MAINTAINED.GSK - QTRLY TOTAL RESPIRATORY SALES £871 MILLION +38% AER, +38% CER.GSK - QTRLY PHARMACEUTICALS SALES £4.4 BILLION +6% AER, +6% CER.GSK - DO NOT ANTICIPATE ANY SIGNIFICANT DELAYS TO REGULATORY APPROVALS DUE TO PANDEMIC..GSK - QTRLY VACCINES SALES £1.8 BILLION +19% AER, +19% CER; CONSUMER HEALTHCARE SALES £2.9 BILLION +44% AER, +46% CER (PROFORMA +11% CER*).GSK - ARE UNABLE TO PREDICT ULTIMATE DISRUPTIVE IMPACT OF COVID-19 PANDEMIC ON GSK'S BUSINESS PERFORMANCE FOR FULL-YEAR 2020.GSK - Q1 SHINGRIX SALES £647 MILLION.GSK - AT THIS STAGE, WE ARE UNABLE TO PREDICT ULTIMATE DISRUPTIVE IMPACT OF COVID-19 PANDEMIC ON GSK'S BUSINESS PERFORMANCE FOR FULL-YEAR 2020.GSK - LIQUIDITY POSITION STRONG, SUFFICIENT CASH FOR CURRENT OPERATIONAL NEEDS.GSK - ACCESS TO SIGNIFICANT ADDITIONAL UNDRAWN COMMITTED SOURCES OF FINANCE IF REQUIRED.GSK - PERFORMED STRONGLY WITH GROWTH IN SALES AND EARNINGS REFLECTING GOOD UNDERLYING PERFORMANCE AND INCREASED DEMAND, INCLUDING STOCK-BUILDING.GSK - CLOSELY MONITORING ALL PARTS OF ITS MANUFACTURING NETWORK AND HAVE BEEN ABLE TO RESPOND QUICKLY TO FLUCTUATIONS IN DEMAND.",1,0,0,1,0,1,1,0,"",0,"Glenmark Pharma Gets ANDA Tentative Approval For Dapagliflozin & Saxagliptin Tablets; Biontech And Pfizer Announce Completion Of Dosing For First Cohort Of Phase 1/2 Trial Of Covid-19 Vaccine Candidates In Germany; J&J Says At 2020 Annual Meeting, Approved Shareholder Proposal For Report On Governance Of Opioids-Related Risks; AstraZeneca Says 20-25% Of Oncology Sales Came From Infused Medicines; AstraZeneca Qtrly Core EPS $1.05, FY 2020 Financial Guidance Unchanged; Catalent Signs Agreement With Johnson & Johnson To Be U.S. Manufacturing Partner For Lead Covid-19 Vaccine Candidate; GSK Q1 Adj EPS 37.7p, 2020 Adj EPS Forecast Maintained",1,"",0,"",0,"",0,"",0,"",0
